Player Name;Name;Surname;Extra;Player Name 2;Number;Number2;Team
Trae Young;Trae;Young;;T.Young;11;;ATL
Dyson Daniels;Dyson;Daniels;;D.Daniels;5;;ATL
Zaccharie Risacher;Zaccharie;Risacher;;Z.Risacher;10;;ATL
Onyeka Okongwu;Onyeka;Okongwu;;O.Okongwu;17;;ATL
Vit Krejci;Vit;Krejci;;V.Krejci;27;;ATL
Clint Capela;Clint;Capela;;C.Capela;15;;ATL
Garrison Mathews;Garrison;Mathews;;G.Mathews;24;;ATL
Jalen Johnson;Jalen;Johnson;;J.Johnson;1;;ATL
Dominick Barlow;Dominick;Barlow;;D.Barlow;0;;ATL
Mouhamed Gueye;Mouhamed;Gueye;;M.Gueye;18;;ATL
Keaton Wallace;Keaton;Wallace;;K.Wallace;2;;ATL
Terance Mann;Terance;Mann;;T.Mann;14;;ATL
Georges Niang;Georges;Niang;;G.Niang;20;;ATL
Caris LeVert;Caris;LeVert;;C.LeVert;3;;ATL
Larry NanceJr;Larry;Nance;Jr.;L.Nance;22;;ATL
Kobe Bufkin;Kobe;Bufkin;;K.Bufkin;4;;ATL
Daeqwon Plowden;Daeqwon;Plowden;;D.Plowden;29;;ATL
Jacob Toppin;Jacob;Toppin;;J.Toppin;0;;ATL
Payton Pritchard;Payton;Pritchard;;P.Pritchard;11;;BOS
Derrick White;Derrick;White;;D.White;9;;BOS
Luke Kornet;Luke;Kornet;;L.Kornet;40;;BOS
Jayson Tatum;Jayson;Tatum;;J.Tatum;0;;BOS
Sam Hauser;Sam;Hauser;;S.Hauser;30;;BOS
Jaylen Brown;Jaylen;Brown;;J.Brown;7;;BOS
Jrue Holiday;Jrue;Holiday;;J.Holiday;4;;BOS
Neemias Queta;Neemias;Queta;;N.Queta;88;;BOS
Al Horford;Al;Horford;;A.Horford;42;;BOS
Jordan Walsh;Jordan;Walsh;;J.Walsh;27;;BOS
Kristaps Porzingis;Kristaps;Porzingis;;K.Porzingis;8;;BOS
Xavier Tillman Sr.;Xavier;Tillman;Sr.;X.Tillman;26;;BOS
