Player Name,Number,Team
Saddiq Bey,41,ATL
Bogdan Bogdanović,13,ATL
Kobe Bufkin,4,ATL
Clint Capela,15,ATL
Bruno Fernando,24,ATL
Trent Forrest,2,ATL
AJ Griffin,14,ATL
Mouhamed Gueye,18,ATL
De'Andre Hunter,12,ATL
Jalen Johnson,1,ATL
Vit Krejci,27,ATL
Seth Lundy,3,ATL
Garrison Mathews,25,ATL
Wesley Matthews,32,ATL
Patty Mills,8,ATL
Dejounte Murray,5,ATL
Onyeka Okongwu,17,ATL
Dylan Windler,20,ATL
Trae Young,11,ATL
Dalano Banton,45,BOS
Oshae Brissett,12,BOS
Jaylen Brown,7,BOS
JD Davison,20,BOS
Sam Hauser,30,BOS
Jrue Holiday,4,BOS
Al Horford,42,BOS
Luke Kornet,40,BOS
Svi Mykhailiuk,50,BOS
Drew Peterson,13,BOS
Kristaps Porziņģis,8,BOS
Payton Pritchard,11,BOS
Neemias Queta,88,BOS
Jaden Springer,44,BOS
Lamar Stevens,77,BOS
Jayson Tatum,0,BOS
Xavier Tillman Sr.,26,BOS
Jordan Walsh,27,BOS
Derrick White,9,BOS
Keita Bates-Diop,13,BRK
Mikal Bridges,1,BRK
Armoni Brooks,13,BRK
Nic Claxton,33,BRK
Noah Clowney,21,BRK
Spencer Dinwiddie,26,BRK
Dorian Finney-Smith,28,BRK
Harry Giles,14,BRK
Jacob Gilyard,14,BRK
Cameron Johnson,2,BRK
Keon Johnson,45,BRK
Dariq Whitehead,0,BRK
Royce O'Neale,00,BRK
Dennis Schröder,17,BRK
Day'Ron Sharpe,20,BRK
Ben Simmons,10,BRK
Dennis Smith Jr.,4,BRK
Cam Thomas,24,BRK
Lonnie Walker IV,8,BRK
Trendon Watford,9,BRK
Jalen Wilson,22,BRK
Amari Bailey,10,CHO
LaMelo Ball,1,CHO
Dāvis Bertāns,9,CHO
Leaky Black,12,CHO
Marques Bolden,3,CHO
James Bouknight,2,CHO
Miles Bridges,0,CHO
Seth Curry,30,CHO
Gordon Hayward,20,CHO
Théo Maledon,9,CHO
Tre Mann,23,CHO
Cody Martin,11,CHO
Bryce McGowens,7,CHO
Nathan Mensah,31,CHO
Vasilije Micić,22,CHO
Brandon Miller,24,CHO
Frank Ntilikina,44,CHO
Aleksej Pokusevski,17,CHO
Nick Richards,4,CHO
Terry Rozier,3,CHO
Ish Smith,14,CHO
Nick Smith Jr.,8,CHO
JT Thor,21,CHO
P.J. Washington,25,CHO
Grant Williams,2,CHO
Mark Williams,5,CHO
Onuralp Bitim,17,CHI
Jevon Carter,5,CHI
Alex Caruso,6,CHI
Torrey Craig,13,CHI
DeMar DeRozan,11,CHI
Ayo Dosunmu,12,CHI
Henri Drell,77,CHI
Andre Drummond,3,CHI
Andrew Funk,30,CHI
Javonte Green,24,CHI
Zach LaVine,8,CHI
Julian Phillips,15,CHI
Adama Sanogo,21,CHI
Terry Taylor,32,CHI
Dalen Terry,25,CHI
Nikola Vučević,9,CHI
Coby White,0,CHI
Patrick Williams,44,CHI
Jarrett Allen,31,CLE
Emoni Bates,21,CLE
Darius Garland,10,CLE
Ty Jerome,2,CLE
Damian Jones,30,CLE
Caris LeVert,3,CLE
Sam Merrill,5,CLE
Donovan Mitchell,45,CLE
Evan Mobley,4,CLE
Isaiah Mobley,15,CLE
Marcus Morris,24,CLE
Pete Nance,8,CLE
Georges Niang,20,CLE
Isaac Okoro,35,CLE
Craig Porter Jr.,9,CLE
Max Strus,1,CLE
Tristan Thompson,"12, 13",CLE
Dean Wade,32,CLE
Greg Brown III,13,DAL
Seth Curry,30,DAL
Dexter Dennis,17,DAL
Luka Dončić,77,DAL
Dante Exum,0,DAL
Alex Fudge,3,DAL
Daniel Gafford,21,DAL
Josh Green,8,DAL
Tim Hardaway Jr.,10,DAL
Jaden Hardy,1,DAL
Richaun Holmes,20,DAL
Kyrie Irving,11,DAL
Derrick Jones Jr.,55,DAL
Maxi Kleber,42,DAL
A.J. Lawson,9,DAL
Dereck Lively II,2,DAL
Markieff Morris,88,DAL
Dwight Powell,7,DAL
Olivier-Maxence Prosper,18,DAL
P.J. Washington,25,DAL
Brandon Williams,00,DAL
Grant Williams,3,DAL
Christian Braun,0,DEN
Kentavious Caldwell-Pope,5,DEN
Collin Gillespie,21,DEN
Aaron Gordon,50,DEN
Justin Holiday,9,DEN
Jay Huff,30,DEN
Reggie Jackson,7,DEN
Nikola Jokić,15,DEN
DeAndre Jordan,6,DEN
Braxton Key,11,DEN
Jamal Murray,27,DEN
Zeke Nnaji,22,DEN
Jalen Pickett,24,DEN
Michael Porter Jr.,1,DEN
Julian Strawther,3,DEN
Hunter Tyson,4,DEN
Peyton Watson,8,DEN
Marvin Bagley III,35,DET
Buddy Boeheim,35,DET
Bojan Bogdanović,44,DET
Troy Brown Jr.,7,DET
Alec Burks,14,DET
Malcolm Cazalon,20,DET
Cade Cunningham,2,DET
Jalen Duren,0,DET
Tosan Evbuomwan,18,DET
Malachi Flynn,14,DET
Simone Fontecchio,19,DET
Evan Fournier,31,DET
Danilo Gallinari,12,DET
Taj Gibson,67,DET
Quentin Grimes,24,DET
Joe Harris,31,DET
Killian Hayes,7,DET
Jaden Ivey,23,DET
Kevin Knox,24,DET
Isaiah Livers,12,DET
Chimezie Metu,5,DET
Shake Milton,5,DET
Monte Morris,5,DET
Mike Muscala,41,DET
Jaylen Nowell,20,DET
Jared Rhoden,8,DET
Marcus Sasser,25,DET
Isaiah Stewart,28,DET
Ausar Thompson,9,DET
Stanley Umude,17,DET
James Wiseman,13,DET
Stephen Curry,30,GSW
Usman Garuba,12,GSW
Draymond Green,23,GSW
Trayce Jackson-Davis,32,GSW
Cory Joseph,1,GSW
Jonathan Kuminga,00,GSW
Kevon Looney,5,GSW
Moses Moody,4,GSW
Chris Paul,3,GSW
Gary Payton II,0,GSW
Brandin Podziemski,2,GSW
Lester Quiñones,25,GSW
Jerome Robinson,18,GSW
Gui Santos,15,GSW
Dario Šarić,20,GSW
Pat Spencer,61,GSW
Klay Thompson,11,GSW
Andrew Wiggins,22,GSW
Dillon Brooks,9,HOU
Reggie Bullock,25,HOU
Tari Eason,17,HOU
Jalen Green,4,HOU
Jeff Green,32,HOU
Nate Hinton,14,HOU
Aaron Holiday,0,HOU
Jock Landale,2,HOU
Boban Marjanović,51,HOU
Jermaine Samuels,00,HOU
Alperen Şengün,28,HOU
Jabari Smith Jr.,10,HOU
Jae'Sean Tate,8,HOU
Amen Thompson,1,HOU
Fred VanVleet,5,HOU
Cam Whitmore,7,HOU
Jeenathan Williams,19,HOU
Bruce Brown,11,IND
Kendall Brown,10,IND
Tyrese Haliburton,0,IND
Buddy Hield,7,IND
Isaiah Jackson,22,IND
Quenton Jackson,29,IND
James Johnson,16,IND
Bennedict Mathurin,00,IND
T.J. McConnell,9,IND
Doug McDermott,20,IND
Andrew Nembhard,2,IND
Aaron Nesmith,23,IND
Jordan Nwora,13,IND
Ben Sheppard,26,IND
Pascal Siakam,43,IND
Jalen Smith,25,IND
Daniel Theis,27,IND
Obi Toppin,1,IND
Oscar Tshiebwe,44,IND
Myles Turner,33,IND
Jarace Walker,5,IND
Isaiah Wong,21,IND
Nicolas Batum,33,LAC
Brandon Boston Jr.,4,LAC
Kobe Brown,21,LAC
Amir Coffey,7,LAC
Robert Covington,23,LAC
Moussa Diabaté,25,LAC
Paul George,13,LAC
James Harden,1,LAC
Bones Hyland,5,LAC
Kawhi Leonard,2,LAC
Terance Mann,14,LAC
KJ Martin,6,LAC
Jordan Miller,11,LAC
Xavier Moon,22,LAC
Mason Plumlee,44,LAC
Norman Powell,24,LAC
Joshua Primo,12,LAC
Daniel Theis,10,LAC
P.J. Tucker,17,LAC
Russell Westbrook,0,LAC
Ivica Zubac,40,LAC
Colin Castleton,14,LAL
Max Christie,10,LAL
Anthony Davis,3,LAL
Spencer Dinwiddie,26,LAL
Alex Fudge,17,LAL
Harry Giles,20,LAL
Rui Hachimura,28,LAL
Jaxson Hayes,11,LAL
D'Moi Hodge,55,LAL
Jalen Hood-Schifino,0,LAL
LeBron James,23,LAL
Maxwell Lewis,21,LAL
Skylar Mays,4,LAL
Taurean Prince,12,LAL
Austin Reaves,15,LAL
Cam Reddish,5,LAL
D'Angelo Russell,1,LAL
Jarred Vanderbilt,2,LAL
