urls;actions;numerosity
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=8&GameID=0022400861&Season=2024-25&flag=1&title=K.%20Johnson%20REBOUND%20(Off:0%20Def:1);[{'player': '8', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'black'}, {'player': '45', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None, 'color': 'white'}];2
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=10&GameID=0022400861&Season=2024-25&flag=1&title=Duren%20REBOUND%20(Off:0%20Def:1);[{'player': '45', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'white'}, {'player': '0', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None, 'color': 'black'}];2
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=13&GameID=0022400861&Season=2024-25&flag=1&title=Williams%202%27%20Running%20Dunk%20(2%20PTS)%20(K.%20Johnson%201%20AST);[{'player': '0', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': None, 'color': 'black'}, {'player': '8', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': None, 'color': 'white'}, {'player': '8', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '45', 'color': 'white'}];3
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=17&GameID=0022400861&Season=2024-25&flag=1&title=Thompson%20Tip%20Layup%20Shot%20(2%20PTS);[{'player': '12', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'black'}, {'player': '9', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None, 'color': 'black'}, {'player': '9', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'black'}];3
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=20&GameID=0022400861&Season=2024-25&flag=1&title=Cunningham%20REBOUND%20(Off:0%20Def:1);[{'player': '2', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'white'}, {'player': '2', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None, 'color': 'black'}];2
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=21&GameID=0022400861&Season=2024-25&flag=1&title=Duren%201%27%20Running%20Layup%20(2%20PTS)%20(Thompson%201%20AST);[{'player': '0', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '9', 'color': 'black'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=25&GameID=0022400861&Season=2024-25&flag=1&title=Williams%20S.FOUL%20(P1.T1)%20(G.Petraitis);[{'player': '45', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'white'}, {'player': '0', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None, 'color': 'black'}, {'player': '8', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': None, 'color': 'white'}];3
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=27&GameID=0022400861&Season=2024-25&flag=1&title=Duren%20Free%20Throw%201%20of%202%20(3%20PTS);[{'player': '0', 'action': 'Free Throw', 'result': True, 'assisted': False, 'other_player': None, 'color': 'black'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=28&GameID=0022400861&Season=2024-25&flag=1&title=Duren%20Free%20Throw%202%20of%202%20(4%20PTS);[{'player': '0', 'action': 'Free Throw', 'result': True, 'assisted': False, 'other_player': None, 'color': 'black'}];1
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=29&GameID=0022400861&Season=2024-25&flag=1&title=Thompson%20S.FOUL%20(P1.T1)%20(G.Petraitis);[{'player': '9', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': None, 'color': 'black'}];1
