files;actions_name;number_actions
bkn-vs-hou-0022300469_366;[{'player': 26, 'jersey_color': 'white', 'action': '3PT Shot', 'result': False, 'assisted': True, 'other_player': 1}, {'player': 8, 'jersey_color': 'black', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
bkn-vs-hou-0022300469_377;[{'player': 20, 'jersey_color': 'black', 'action': '3PT Shot', 'result': False, 'assisted': True, 'other_player': 4}, {'player': 2, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
bkn-vs-hou-0022300469_382;[{'player': 2, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 8, 'jersey_color': 'black', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 2}, {'player': 8, 'jersey_color': 'black', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];3
bkn-vs-hou-0022300469_390;[{'player': 4, 'jersey_color': 'black', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 33}, {'player': 33, 'jersey_color': 'white', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': 10}];2
bkn-vs-nop-0022300461_352;[{'player': 11, 'jersey_color': 'white', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 8, 'jersey_color': 'green', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
bos-vs-ind-0022300493_343;[{'player': 0, 'jersey_color': 'green', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None}, {'player': 0, 'jersey_color': 'black', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 0}];2
bos-vs-ind-0022300493_366;[{'player': 0, 'jersey_color': 'black', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 0, 'jersey_color': 'green', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 0}, {'player': 7, 'jersey_color': 'green', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];3
bos-vs-ind-0022300493_393;[{'player': 0, 'jersey_color': 'yellow', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None}, {'player': 42, 'jersey_color': 'green', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 0}];2
bos-vs-ind-0022300507_351;[{'player': 7, 'jersey_color': 'green', 'action': '3PT Shot', 'result': False, 'assisted': True, 'other_player': 42}, {'player': 7, 'jersey_color': 'green', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 7, 'jersey_color': 'green', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 0, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];4
bos-vs-ind-0022300507_364;[{'player': 8, 'jersey_color': 'green', 'action': 'Free Throw', 'result': True, 'assisted': None, 'other_player': None}];1
bos-vs-okc-0022300462_361;[{'player': 8, 'jersey_color': 'light blue', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': None}, {'player': 11, 'jersey_color': 'green', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': 8}, {'player': 0, 'jersey_color': 'green', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': 11}];3
bos-vs-okc-0022300462_378;[{'player': 7, 'jersey_color': 'green', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 0, 'jersey_color': 'green', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 0, 'jersey_color': 'green', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 5, 'jersey_color': 'blue', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 0}, {'player': 0, 'jersey_color': 'green', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 0, 'jersey_color': 'green', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None}];6
cha-vs-chi-0022300484_311;[{'player': 3, 'jersey_color': 'light blue', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': 11}, {'player': 11, 'jersey_color': 'white', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': 3}];2
cha-vs-den-0022300455_347;[{'player': 8, 'jersey_color': 'blue', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 4, 'jersey_color': 'light blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
cha-vs-den-0022300455_377;[{'player': 7, 'jersey_color': 'light blue', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 0, 'jersey_color': 'light blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 2, 'jersey_color': 'light blue', 'action': '2PT Shot', 'result': False, 'assisted': True, 'other_player': 0}, {'player': 7, 'jersey_color': 'blue', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 2}];4
cha-vs-sac-0022300464_344;[{'player': 3, 'jersey_color': 'white', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None}, {'player': 10, 'jersey_color': 'purple', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 3}];2
chi-vs-nyk-0022300468_317;[{'player': 30, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 55, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}];2
